#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.2269  -12.2837  -11.6913  -11.6566  -11.5830  -11.4109  -11.3952   -4.1755   -3.5306   -3.0789   -2.9330   -2.7697   -2.6762   -2.4361   -2.3721   -2.3400   -1.8853   -1.6209   -1.4155   -1.2293   -0.9677   -0.8689   -0.7751   -0.6119   -0.3765    0.7419    0.8197    0.9301    1.0168    1.8037    1.8824    1.9230    1.9618    2.0514    2.0717    4.4881    4.7900    5.5729    5.6549    6.0355    6.1998
  0.2372  -12.2768  -11.6874  -11.6651  -11.5847  -11.4134  -11.3959   -4.1676   -3.5308   -3.0858   -2.9318   -2.7667   -2.6625   -2.4354   -2.3653   -2.3403   -1.8876   -1.6081   -1.3934   -1.2293   -0.9785   -0.9096   -0.7824   -0.6082   -0.3806    0.7408    0.8200    0.9274    1.0130    1.7965    1.8864    1.9211    1.9644    2.0526    2.0733    4.4860    4.8148    5.5594    5.6689    6.0652    6.2188
  0.2475  -12.2696  -11.6834  -11.6738  -11.5864  -11.4161  -11.3967   -4.1596   -3.5311   -3.0924   -2.9302   -2.7636   -2.6483   -2.4389   -2.3571   -2.3379   -1.8900   -1.5954   -1.3715   -1.2297   -0.9897   -0.9513   -0.7886   -0.6047   -0.3837    0.7397    0.8202    0.9246    1.0089    1.7895    1.8898    1.9196    1.9671    2.0536    2.0751    4.4831    4.8391    5.5478    5.6826    6.0901    6.2311
  0.2578  -12.2622  -11.6829  -11.6792  -11.5881  -11.4189  -11.3974   -4.1514   -3.5314   -3.0987   -2.9282   -2.7604   -2.6339   -2.4449   -2.3519   -2.3300   -1.8924   -1.5829   -1.3498   -1.2306   -1.0011   -0.9933   -0.7940   -0.6017   -0.3860    0.7386    0.8204    0.9218    1.0045    1.7826    1.8925    1.9185    1.9700    2.0544    2.0770    4.4794    4.8626    5.5386    5.6961    6.1054    6.1829
  0.2681  -12.2545  -11.6921  -11.6751  -11.5898  -11.4217  -11.3982   -4.1431   -3.5316   -3.1047   -2.9257   -2.7568   -2.6196   -2.4526   -2.3500   -2.3173   -1.8949   -1.5708   -1.3286   -1.2319   -1.0355   -1.0123   -0.7990   -0.5989   -0.3873    0.7374    0.8206    0.9190    1.0000    1.7760    1.8945    1.9178    1.9733    2.0550    2.0790    4.4749    4.8851    5.5319    5.7092    6.1085    6.1952
  0.2784  -12.2467  -11.7014  -11.6707  -11.5915  -11.4248  -11.3990   -4.1347   -3.5318   -3.1104   -2.9226   -2.7530   -2.6054   -2.4614   -2.3489   -2.3026   -1.8975   -1.5591   -1.3083   -1.2340   -1.0769   -1.0232   -0.8036   -0.5967   -0.3878    0.7361    0.8208    0.9163    0.9953    1.7696    1.8958    1.9175    1.9768    2.0554    2.0811    4.4694    4.9066    5.5281    5.7220    6.1035    6.2109
  0.2887  -12.2386  -11.7110  -11.6664  -11.5931  -11.4279  -11.3997   -4.1264   -3.5320   -3.1158   -2.9191   -2.7489   -2.5916   -2.4708   -2.3477   -2.2870   -1.9002   -1.5481   -1.2896   -1.2369   -1.1169   -1.0335   -0.8078   -0.5948   -0.3874    0.7348    0.8210    0.9136    0.9904    1.7634    1.8963    1.9176    1.9807    2.0557    2.0832    4.4631    4.9268    5.5271    5.7345    6.0944    6.2229
  0.2990  -12.2304  -11.7207  -11.6619  -11.5947  -11.4311  -11.4004   -4.1180   -3.5322   -3.1210   -2.9151   -2.7443   -2.5783   -2.4809   -2.3459   -2.2711   -1.9029   -1.5377   -1.2746   -1.2410   -1.1533   -1.0427   -0.8116   -0.5936   -0.3862    0.7334    0.8211    0.9109    0.9855    1.7575    1.8961    1.9181    1.9848    2.0559    2.0854    4.4560    4.9458    5.5292    5.7465    6.0832    6.2268
  0.3093  -12.2221  -11.7305  -11.6574  -11.5963  -11.4345  -11.4012   -4.1097   -3.5323   -3.1259   -2.9105   -2.7395   -2.5659   -2.4914   -2.3433   -2.2549   -1.9058   -1.5282   -1.2692   -1.2462   -1.1802   -1.0503   -0.8150   -0.5928   -0.3842    0.7319    0.8212    0.9084    0.9805    1.7520    1.8952    1.9188    1.9892    2.0560    2.0875    4.4481    4.9634    5.5343    5.7580    6.0703    6.2229
  0.3197  -12.2136  -11.7404  -11.6528  -11.5978  -11.4379  -11.4019   -4.1016   -3.5323   -3.1306   -2.9053   -2.7343   -2.5544   -2.5022   -2.3397   -2.2387   -1.9088   -1.5196   -1.2834   -1.2528   -1.1875   -1.0562   -0.8181   -0.5926   -0.3816    0.7303    0.8212    0.9060    0.9755    1.7467    1.8937    1.9200    1.9937    2.0560    2.0895    4.4395    4.9796    5.5425    5.7691    6.0559    6.2143
